epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,75303.4,0.80455,0.3199,0.88207,0.99683,0.99467,0.99487,0.69513,1.13085,0.42452,0.85911,0.007525,0.007525,0.007525
77,76294.5,0.80884,0.3227,0.88269,0.99728,0.99556,0.99492,0.70862,1.08955,0.40065,0.85309,0.007492,0.007492,0.007492
78,77284.4,0.80886,0.3219,0.88271,0.99742,0.9954,0.99487,0.69275,1.13944,0.4201,0.85927,0.007459,0.007459,0.007459
79,78267,0.80785,0.31989,0.88306,0.99748,0.99556,0.99489,0.71011,1.08438,0.40187,0.85205,0.007426,0.007426,0.007426
80,79253.7,0.79969,0.31988,0.88241,0.99678,0.99485,0.99485,0.67831,1.18127,0.43512,0.86536,0.007393,0.007393,0.007393
81,80241,0.80201,0.31827,0.88306,0.99694,0.99537,0.99487,0.68737,1.14094,0.42213,0.85963,0.00736,0.00736,0.00736
82,81228,0.8007,0.3193,0.88217,0.99691,0.99548,0.99488,0.67724,1.17626,0.43856,0.86449,0.007327,0.007327,0.007327
83,82215.1,0.80174,0.31874,0.88217,0.99739,0.99587,0.99491,0.70857,1.08314,0.40204,0.85163,0.007294,0.007294,0.007294
84,83202.4,0.79649,0.31792,0.8825,0.99724,0.99572,0.99492,0.70533,1.09416,0.40578,0.8538,0.007261,0.007261,0.007261
85,84191.5,0.79653,0.31743,0.88208,0.99619,0.99441,0.99478,0.6543,1.26033,0.46383,0.87849,0.007228,0.007228,0.007228
86,85184.4,0.79772,0.31748,0.88054,0.9966,0.9951,0.99484,0.65785,1.23184,0.4447,0.87388,0.007195,0.007195,0.007195
87,86169.9,0.80196,0.31877,0.88267,0.99777,0.99557,0.99491,0.71704,1.06784,0.38472,0.85056,0.007162,0.007162,0.007162
88,87155.7,0.80018,0.31765,0.88131,0.9975,0.99544,0.99493,0.71357,1.07398,0.39255,0.85136,0.007129,0.007129,0.007129
89,88144.4,0.7969,0.31605,0.88123,0.99711,0.99543,0.99489,0.68814,1.1452,0.42254,0.86046,0.007096,0.007096,0.007096
90,89131.1,0.79194,0.31463,0.88063,0.99706,0.99583,0.99489,0.69644,1.12172,0.40948,0.85678,0.007063,0.007063,0.007063
91,90117.5,0.79426,0.31639,0.88084,0.99729,0.99573,0.9949,0.70435,1.09855,0.40453,0.85472,0.00703,0.00703,0.00703
92,91107.9,0.79564,0.3156,0.88081,0.99664,0.99556,0.99489,0.69954,1.10454,0.40963,0.85497,0.006997,0.006997,0.006997
93,92095.8,0.79611,0.3158,0.88298,0.99761,0.99555,0.99493,0.71731,1.06481,0.39125,0.84949,0.006964,0.006964,0.006964
94,93086.1,0.79351,0.31452,0.88111,0.99741,0.9956,0.99493,0.71374,1.07237,0.39278,0.85085,0.006931,0.006931,0.006931
95,94076.5,0.79182,0.31506,0.88064,0.99728,0.99574,0.99495,0.72259,1.06018,0.38044,0.84871,0.006898,0.006898,0.006898
96,95069.2,0.78758,0.31355,0.87908,0.99773,0.99556,0.99493,0.71827,1.07293,0.3762,0.85101,0.006865,0.006865,0.006865
97,96056,0.79274,0.31409,0.87995,0.99736,0.99554,0.99492,0.71983,1.06094,0.38791,0.84912,0.006832,0.006832,0.006832
98,97044.4,0.79571,0.31673,0.88289,0.99719,0.99533,0.9949,0.70243,1.10848,0.4111,0.85604,0.006799,0.006799,0.006799
99,98036.8,0.79121,0.31489,0.87863,0.99671,0.99537,0.9949,0.68954,1.14384,0.42129,0.86042,0.006766,0.006766,0.006766
100,99026.4,0.78908,0.31456,0.87955,0.997,0.99479,0.9949,0.69589,1.12338,0.41646,0.85638,0.006733,0.006733,0.006733
101,100014,0.78696,0.31257,0.88055,0.99717,0.995,0.9949,0.71274,1.07668,0.40289,0.85056,0.0067,0.0067,0.0067
102,101007,0.79014,0.314,0.87984,0.99748,0.99572,0.99491,0.72146,1.05728,0.38848,0.84782,0.006667,0.006667,0.006667
103,101998,0.79179,0.31417,0.8792,0.99731,0.99564,0.99492,0.71178,1.07979,0.39807,0.8518,0.006634,0.006634,0.006634
104,102985,0.78735,0.31231,0.88019,0.99725,0.99528,0.99493,0.71567,1.07096,0.39356,0.85046,0.006601,0.006601,0.006601
105,103972,0.78217,0.31124,0.87789,0.99735,0.99544,0.99493,0.71571,1.06983,0.39286,0.84999,0.006568,0.006568,0.006568
106,104958,0.78384,0.31093,0.87981,0.99712,0.99562,0.99493,0.72358,1.05411,0.384,0.84774,0.006535,0.006535,0.006535
107,105944,0.78922,0.31306,0.88068,0.99748,0.99532,0.99495,0.72018,1.06077,0.38931,0.84874,0.006502,0.006502,0.006502
108,106932,0.78576,0.31242,0.88009,0.99758,0.9954,0.99493,0.72282,1.05416,0.3834,0.848,0.006469,0.006469,0.006469
109,107918,0.78258,0.31029,0.88028,0.99773,0.99552,0.99488,0.70966,1.08294,0.39524,0.85175,0.006436,0.006436,0.006436
110,108905,0.77925,0.31054,0.87629,0.99749,0.99543,0.99486,0.69024,1.13927,0.41316,0.85971,0.006403,0.006403,0.006403
111,109891,0.77908,0.30908,0.87878,0.99766,0.99547,0.99494,0.72232,1.05638,0.3826,0.84816,0.00637,0.00637,0.00637
112,110880,0.78441,0.3104,0.88001,0.99698,0.99533,0.9949,0.7188,1.06551,0.39299,0.84941,0.006337,0.006337,0.006337
113,111865,0.78056,0.30896,0.87856,0.99741,0.99524,0.99491,0.71221,1.0801,0.39358,0.8516,0.006304,0.006304,0.006304
114,112852,0.77952,0.31014,0.87951,0.99717,0.99533,0.99487,0.70866,1.08805,0.39856,0.85251,0.006271,0.006271,0.006271
115,113839,0.77453,0.30863,0.87707,0.99661,0.99484,0.99488,0.69804,1.11996,0.40889,0.85673,0.006238,0.006238,0.006238
116,114826,0.77996,0.30818,0.87807,0.99551,0.9945,0.99481,0.68107,1.18064,0.42943,0.86591,0.006205,0.006205,0.006205
117,115812,0.77563,0.30898,0.87683,0.99734,0.99501,0.99491,0.71133,1.08731,0.3972,0.85253,0.006172,0.006172,0.006172
118,116795,0.77837,0.30757,0.87892,0.99751,0.99518,0.99493,0.71597,1.07263,0.3913,0.85081,0.006139,0.006139,0.006139
119,117783,0.78084,0.30953,0.87785,0.99738,0.99512,0.99491,0.7064,1.10348,0.4006,0.85551,0.006106,0.006106,0.006106
